name,guest_name,changed,description_snippet
Is Elon Musk the Ultimate Scam Artist? with Max Chafkin,Max Chafkin,0,"Author and journalist Max Chafkin, co-host of the podcast Elon, Inc., joins Trevor and Christiana to discuss one of todayâ€™s most fascinating and controversial figures: Elon Musk. The three talk about "
"The Problem with Men, with Scott Galloway",Scott Galloway,0,"Author/entrepreneur Scott Galloway joins Trevor and Christiana to discuss the economic and social crises plaguing the world (okay, only some of them). They contemplate why young men are failing, the m"
American Amnesia with Tressie McMillan Cottom,Tressie McMillan Cottom,0,"Tressie McMillan Cottom is back on the podcast. Tressie, Trevor, and Christiana discuss Donald Trumpâ€™s Tesla infomercial at the White House, the psychology of the American voter, and why so many of us"
The Reality of Fiction with Chimamanda Ngozi Adichie,Chimamanda Ngozi Adichie,0,Chimamanda Ngozi Adichie joins Trevor and Christiana to discuss her new novel and how she approaches the alchemy of writing fiction. The three also discuss the challenge of exchanging opposing ideas i
Christiana Gave Birth (Again)!,,0,"Trevor, Christiana, and Josh cover some big news â€“ Christiana just gave birth to her third child! It leads them to a discussion of how motherhood is framed by society, its impact on the family and the"
Human-Kind or Human Evil with Rutger Bregman,Rutger Bregman,0,Historian and author Rutger Bregman joins Trevor and Christiana to debate ethics and the possibility of a better world. Are human beings innately good? Innately selfish? Which is better to move the hu
Meet Khaya Dlanga â€“ One of My Favorite People,Khaya Dlanga,0,"Weâ€™ve got a new type of episode for you. In this premiere â€œMy Favorite Peopleâ€ ep, Trevor chats with his longtime friend (indeed one of his favorite people), Khaya Dlanga. Khayaâ€™s a South African writ"
The Second Coming of Halle Berry,Halle Berry,0,Halle Berry has found her purpose. Sheâ€™s chatting with Trevor and Christiana about the jaw-dropping personal experience that led her to her new project: promoting the conversation around womenâ€™s longe
RIPâ€¦ D.E.I. with Ruha Benjamin,Ruha Benjamin,0,"Trevor and Christiana speak with professor, sociologist, and MacArthur Fellowship winner Ruha Benjamin about some of the pressing political and social issues of the day. The three discuss whether DEI "
No One Told Trevor He Was Hosting the Grammys,Ben Winston,0,"Trevor, Grammy Executive Producer Ben Winston, and Trevorâ€™s good friend Sizwe Dhlomo take us deep behind the scenes of musicâ€™s biggest night. The trio discusses the decision to hold the event against "
Wringing in the New Year,,0,Trevor is home in South Africa. He and his good friends Anele Mdoda and Sizwe Dhlomo have a spirited conversation about the big issues that worry them as we hurtle into 2025. They discuss whether the 
Join or Die with Robert Putnam,Robert Putnam,0,"Trevor and Christiana sit down with noted author and political scientist Robert Putnam. They discuss why community is now more essential than ever, both for the survival of democracy and for our very "
If I Ruled the World: The One Where Everyone Tries Crack,,0,"Required drug taking? Assigned partnerships? Getting rid of politicians? Trevor, Christiana, and Josh are back with maybe their wildest â€œIf I Ruled the Worldâ€ yet. See which of their inspired ideas wi"
Is Marques Brownlee the Most Powerful Man in Tech?,Marques Brownlee,0,"Trevor and Christiana chat with YouTuber Marques Brownlee, professionally known as MKBHD and famous for his incredibly popular videos reviewing technology devices. The trio discusses how to survive an"
The Ozempic Obsession with Jia Tolentino (ARCHIVE EPISODE),Jia Tolentino,0,"Happy New Year! To get the year started off right, weâ€™re re-publishing one of our favorite episodes from 2024. Trevor and Christiana chatted with Jia Tolentino in May of last year; 8 months later, and"
Why Are All Bosses Idiots? with Simon Sinek,Simon Sinek,0,"Trevor, Christiana, and author/inspirational speaker Simon Sinek delve into the paradox of why the smartest and most competent people at a company are often not its leaders. They also dissect whether "
UnitedHealthcare Assassin: Italians Are Black Again?,,0,"In the wake of the killing of UnitedHealthcareâ€™s CEO, the internet is awash with hot takes on health insurance and hot memes of everyoneâ€™s favorite assassin-bae. The facts may still be developing, but"
How To Be The Most Healed Guy with Neal Brennan,Neal Brennan,0,"Trevor and Christiana sit down with Chappelle's Show co-creator and former Daily Show colleague Neal Brennan. The three friends discuss the importance of familial dysfunction to a life of comedy, whet"
If You Ruled the World: A Listener Grab Bag,,0,"On Thanksgiving week, we give thanks to our listeners with a bonus episode where Trevor, Christiana, and Josh weigh in on your suggestions for their favorite game, If I Ruled the World. Suffice it to "
Love on a Timeline with Esther Perel,Esther Perel,0,"Trevor enlists the help of noted therapist Esther Perel to help design the perfect relationship model. They talk through all the phasesâ€“where to find someone, the perfect date, defining the relationsh"
"Tight Values, Loose Ideas with Malcolm Gladwell",Malcolm Gladwell,0,"Malcolm Gladwell sits down with Trevor and Christiana to discuss his new book, and why values should be held tightly but ideas should be held loosely. The trio also delve into the importance of televi"
Harris v. Trump: The Day After with Tressie McMillan Cottom,Tressie McMillan Cottom,0,"Donald Trump will be president again. Trevor, Christiana, and Josh are joined once again by Tressie McMillan Cottom to puzzle through whether Trump won this election, or Harris lost it. Plus, they off"
Harris v. Trump: The Week Before with Tressie McMillan Cottom,Tressie McMillan Cottom,0,"Trevor and Christiana call on Tressie McMillan Cottom to help them make sense of the final week before the US presidential election. Together, they unpack Trumpâ€™s rally at Madison Square Garden, why c"
Whatâ€™s In An Accent with Lupita Nyongâ€™o,Lupita Nyong'o,1,"Lupita Nyongâ€™o joins Trevor and Christiana to discuss her new podcast and its colorful stories of the African diaspora. The three also discuss their multifaceted identities, why Lupita refuses to expe"
For Kids or Anyone Whoâ€™s Ever Been a Kid,,0,"With the release of Trevorâ€™s new childrenâ€™s book â€œInto the Uncut Grassâ€, Trevor sits down with some actual kids, plus Christiana and Josh, to discuss what being a kid is like from their perspective, w"
Have We Missed The Message? with Ta-Nehisi Coates,Ta-Nehisi Coates,0,"Bestselling author Ta-Nehisi Coates joins Trevor and Christiana to discuss his new book about how the stories we tell, and the ones we donâ€™t, shape our realities. They also unpack the jaw-dropping CBS"
Making Bureaucracies Sexier with Yuval Noah Harari,Yuval Noah Harari,0,"Trevor and Christiana speak with Yuval Noah Harari, whose latest book, Nexus, asks, if humans are so smart, why do we do so many stupid things? The three of them interrogate truth vs. fact, the threat"
Tripping Past Your Ego with Michael Pollan,Michael Pollan,0,"Trevor enlists the help of journalist and author Michael Pollan (This is Your Mind on Plants, Omnivoreâ€™s Dilemma) as they try to convince Christiana of the positive impacts of therapeutic psychedelics"
